batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
13,10,0.30375,0.23402390369361847,1.3758937477030468,1.7728170009873088,0.08,0.27,0.28,0.17,0.1,0.02,0.01,0.03,0.04
14,10,0.32375,0.23591245728023774,1.0026308192392592,0.6511724315595724,0.08,0.25,0.24,0.18,0.1,0.06,0.04,0.02,0.03
15,10,0.27375,0.17019749557499372,0.9374799828911686,1.7974766435104135,0.09,0.19,0.39,0.2,0.07,0.04,0.0,0.02,0.0
16,10,0.26125,0.22437064759009812,1.400498056226454,2.055332151156339,0.14,0.32,0.24,0.13,0.07,0.05,0.01,0.01,0.03
17,10,0.24125,0.14711283934449773,0.35654501839911246,0.29006377741558875,0.12,0.23,0.36,0.2,0.08,0.0,0.01,0.0,0.0
18,10,0.26375,0.18447137311789055,0.594248130880403,-0.11772321660884488,0.13,0.25,0.28,0.15,0.13,0.03,0.03,0.0,0.0
19,10,0.26125,0.16114337560073638,0.4203435201005525,0.3690307598221798,0.12,0.19,0.34,0.23,0.09,0.01,0.02,0.0,0.0
20,10,0.255,0.17933906434460956,1.1285771995771483,1.8021991052106294,0.08,0.36,0.25,0.16,0.08,0.06,0.0,0.0,0.01
21,10,0.2675,0.17049560111627513,0.857486005260703,0.42156425163119904,0.05,0.36,0.22,0.24,0.06,0.04,0.03,0.0,0.0
22,10,0.25625,0.16141464462681196,0.4085643902666972,0.03141907307216085,0.12,0.22,0.32,0.22,0.08,0.03,0.01,0.0,0.0
23,10,0.2825,0.18423829677892703,1.083087108332404,2.116759557415727,0.09,0.2,0.35,0.22,0.06,0.05,0.01,0.01,0.01
24,10,0.26625,0.18511398515509303,1.1246097874453287,2.033182845319968,0.09,0.31,0.22,0.26,0.07,0.0,0.04,0.0,0.01
25,10,0.24625,0.17629432066859105,0.9941931146961,2.0736378452855124,0.13,0.29,0.25,0.22,0.06,0.04,0.0,0.0,0.01
26,10,0.2725,0.18318365101722373,1.0594877509105276,2.169055185669709,0.09,0.28,0.23,0.27,0.08,0.02,0.01,0.01,0.01
27,10,0.305,0.22452728119317705,1.0242694923846565,1.056562985914188,0.1,0.25,0.24,0.17,0.13,0.04,0.04,0.0,0.03
28,10,0.2675,0.18542181640788657,1.1927289655681685,1.911585608156189,0.08,0.29,0.33,0.14,0.09,0.03,0.03,0.0,0.01
29,10,0.26625,0.1989464437983248,1.3344282162882874,2.0455592245122,0.08,0.35,0.25,0.16,0.09,0.02,0.02,0.02,0.01
30,10,0.27625,0.19628980488043693,0.9057327381090231,0.6689275934377954,0.1,0.28,0.27,0.15,0.13,0.02,0.03,0.02,0.0
31,10,0.27,0.2074548143572474,1.004918433208852,1.3202127777137154,0.15,0.24,0.24,0.19,0.12,0.01,0.02,0.02,0.01
32,10,0.26,0.18258559636510213,1.1125958785710484,2.2432222687574646,0.11,0.26,0.33,0.13,0.13,0.02,0.0,0.01,0.01
33,10,0.27625,0.15938847982210005,0.4709738663804376,0.33553171614658783,0.08,0.21,0.33,0.24,0.1,0.02,0.02,0.0,0.0
34,10,0.24125,0.1743335524217871,1.3192473388907837,2.459317408934586,0.1,0.33,0.32,0.14,0.06,0.02,0.01,0.02,0.0
35,10,0.26875,0.19475545563603605,1.1935668516476996,1.8488737761722263,0.09,0.32,0.23,0.22,0.07,0.02,0.03,0.01,0.01
36,10,0.26375,0.1911274116917822,1.1069931500620256,1.8445031014358655,0.11,0.29,0.25,0.21,0.07,0.04,0.01,0.01,0.01
37,10,0.23625,0.17844379367184504,1.060027791645381,2.638956285962343,0.18,0.22,0.29,0.23,0.05,0.0,0.02,0.0,0.01
38,10,0.28,0.1969454239123113,1.3190008887306297,2.622286459030583,0.09,0.24,0.33,0.18,0.09,0.03,0.01,0.01,0.02
39,10,0.28625,0.19063627015864532,1.2804659373138252,2.2202320121431365,0.06,0.26,0.34,0.16,0.12,0.01,0.02,0.02,0.01
40,10,0.2925,0.20172691937369192,1.0669012381405754,1.2226340683904837,0.06,0.32,0.22,0.19,0.13,0.03,0.02,0.02,0.01
41,10,0.28,0.19615045245933033,0.7021850645856273,0.7439237397515139,0.14,0.19,0.29,0.17,0.14,0.04,0.02,0.0,0.01
42,10,0.2775,0.2065944094112907,1.1886805428195957,1.5863765773184255,0.09,0.32,0.23,0.17,0.12,0.02,0.01,0.03,0.01
43,10,0.27625,0.18816133370063043,1.1883360768193363,2.4191956726447916,0.1,0.21,0.35,0.2,0.07,0.04,0.0,0.02,0.01
44,10,0.26,0.16552945357246848,0.886505075458872,1.3945901486493693,0.09,0.25,0.35,0.19,0.07,0.03,0.01,0.01,0.0
45,10,0.29,0.2178588992903434,0.9767649871073086,0.8413466850622755,0.13,0.21,0.29,0.17,0.1,0.02,0.05,0.02,0.01
46,10,0.28125,0.21093171288357757,1.46487288835676,2.4709088961020447,0.09,0.25,0.35,0.16,0.06,0.03,0.01,0.03,0.02
47,10,0.3,0.18540496217739158,1.2613666517721385,2.999338842975204,0.06,0.2,0.33,0.24,0.11,0.03,0.0,0.01,0.02
48,10,0.28125,0.18656014445749125,0.9215666611299397,1.6328416979370957,0.1,0.22,0.3,0.21,0.1,0.05,0.0,0.01,0.01
49,10,0.28625,0.1752631949383555,0.6295452142093856,0.5702091559921629,0.08,0.23,0.28,0.23,0.13,0.02,0.02,0.01,0.0
50,10,0.25375,0.21024910820262713,1.2010765477857086,1.9287645874601012,0.17,0.27,0.24,0.15,0.1,0.04,0.0,0.01,0.02
51,10,0.3325,0.23665639649077733,1.0603024282414877,1.0867483754977805,0.1,0.15,0.31,0.19,0.12,0.05,0.01,0.03,0.04
52,10,0.2775,0.16543503256565703,0.5751407923721036,0.8706960043734631,0.09,0.2,0.33,0.22,0.13,0.01,0.01,0.01,0.0
53,10,0.25375,0.19401594650955886,1.4262704456610833,2.595854385027841,0.1,0.33,0.3,0.12,0.09,0.02,0.01,0.02,0.01
54,10,0.27625,0.1716600929162046,0.22110065987276942,-0.5740881913628506,0.12,0.19,0.29,0.23,0.1,0.07,0.0,0.0,0.0
55,10,0.26625,0.1645590699414651,0.601291581300107,0.5625470461112285,0.08,0.29,0.25,0.23,0.12,0.02,0.0,0.01,0.0
56,10,0.2525,0.19920153111861363,1.197788757968676,2.077253966101199,0.15,0.28,0.24,0.19,0.09,0.01,0.01,0.02,0.01
57,10,0.25125,0.19404815768257117,1.4588521716916214,2.74938742742827,0.11,0.31,0.32,0.13,0.06,0.03,0.01,0.02,0.01
58,10,0.29125,0.17593944270685866,0.7576932997096971,1.2893935775456553,0.07,0.22,0.32,0.18,0.15,0.05,0.0,0.0,0.01
59,10,0.295,0.18500000000000003,1.1067064142301541,2.1009582421147375,0.06,0.23,0.32,0.2,0.13,0.03,0.0,0.02,0.01
60,10,0.275,0.2053959590644373,1.3415821655435174,2.378436213991767,0.11,0.24,0.32,0.19,0.06,0.02,0.03,0.01,0.02
61,10,0.29125,0.22711161903346114,0.9046689557868938,0.6411824590923993,0.15,0.23,0.2,0.21,0.1,0.05,0.01,0.04,0.01
62,10,0.26375,0.19275551224284093,1.2392082911775442,2.195570011894489,0.1,0.3,0.28,0.16,0.1,0.03,0.0,0.02,0.01
63,10,0.2525,0.18026022855860357,0.8853808885903669,0.9268503075572605,0.12,0.3,0.24,0.22,0.06,0.03,0.02,0.01,0.0
64,10,0.2525,0.1802602285586036,1.0454367283123984,2.194349594727645,0.13,0.26,0.28,0.21,0.08,0.01,0.02,0.0,0.01
65,10,0.29875,0.22142648328508494,1.0505215495374005,1.2222316260947146,0.11,0.23,0.28,0.15,0.11,0.07,0.02,0.0,0.03
66,10,0.2775,0.16731332881752128,0.4699181903013578,0.8026020663221534,0.11,0.17,0.32,0.25,0.12,0.01,0.01,0.01,0.0
67,10,0.28375,0.19593924441009772,1.4020542556150595,2.535198696871227,0.05,0.31,0.31,0.14,0.12,0.03,0.01,0.01,0.02
68,10,0.25625,0.16429299285118645,1.2291187656541185,3.3352238099526472,0.08,0.27,0.36,0.17,0.09,0.01,0.01,0.0,0.01
69,10,0.26875,0.1779878858237268,1.1895716694759189,1.6013993775476205,0.07,0.26,0.39,0.15,0.05,0.03,0.04,0.01,0.0
70,10,0.3025,0.2366299854202759,0.9862436419613302,0.7451429246062138,0.13,0.26,0.15,0.26,0.08,0.04,0.02,0.04,0.02
71,10,0.27,0.2097021697551077,1.3353828878112306,1.9302626531108897,0.1,0.3,0.32,0.1,0.07,0.07,0.01,0.01,0.02
72,10,0.3,0.20615528128088306,1.0191846302078251,1.6074826989619355,0.1,0.21,0.25,0.26,0.09,0.04,0.02,0.01,0.02
73,10,0.26875,0.15848402916382456,0.9240202814401512,1.6138822442429426,0.06,0.25,0.37,0.19,0.09,0.02,0.01,0.01,0.0
74,10,0.28875,0.1701974955749937,0.6639965233040805,0.6990593661514901,0.08,0.16,0.42,0.14,0.14,0.04,0.01,0.01,0.0
75,10,0.2725,0.20107523467597896,1.5800584313199837,3.4550006868912906,0.1,0.23,0.36,0.19,0.06,0.01,0.0,0.03,0.02
76,10,0.29125,0.20995163133445757,0.9415024208412699,1.4010330259867247,0.13,0.21,0.22,0.26,0.09,0.05,0.01,0.01,0.02
77,10,0.2275,0.14830289949963893,0.24307409681137987,-0.6290833320614673,0.14,0.29,0.27,0.22,0.07,0.01,0.0,0.0,0.0
78,10,0.27375,0.18598975106171847,0.983945948195414,0.97152368661878,0.08,0.29,0.28,0.19,0.1,0.0,0.05,0.01,0.0
79,10,0.23875,0.17774191261489228,0.784915957479792,0.3717692620961448,0.15,0.29,0.28,0.13,0.11,0.01,0.03,0.0,0.0
