batch_id,key_id,key_length,mismatched_bits,qber,eve_present
8,10,8,1,0.125,1
8,11,8,4,0.5,1
8,12,8,4,0.5,1
8,13,8,0,0.0,1
8,14,8,3,0.375,1
8,15,8,2,0.25,1
8,16,8,2,0.25,1
8,17,8,2,0.25,1
8,18,8,1,0.125,1
8,19,8,2,0.25,1
8,20,8,3,0.375,1
8,21,8,3,0.375,1
8,22,8,3,0.375,1
8,23,8,3,0.375,1
8,24,8,1,0.125,1
8,25,8,1,0.125,1
8,26,8,2,0.25,1
8,27,8,3,0.375,1
8,28,8,2,0.25,1
8,29,8,1,0.125,1
8,30,8,6,0.75,1
8,31,8,3,0.375,1
8,32,8,3,0.375,1
8,33,8,2,0.25,1
8,34,8,2,0.25,1
8,35,8,1,0.125,1
8,36,8,3,0.375,1
8,37,8,2,0.25,1
8,38,8,4,0.5,1
8,39,8,1,0.125,1
8,40,8,3,0.375,1
8,41,8,3,0.375,1
8,42,8,1,0.125,1
8,43,8,2,0.25,1
8,44,8,3,0.375,1
8,45,8,1,0.125,1
8,46,8,2,0.25,1
8,47,8,4,0.5,1
8,48,8,4,0.5,1
8,49,8,3,0.375,1
8,50,8,3,0.375,1
8,51,8,1,0.125,1
8,52,8,2,0.25,1
8,53,8,3,0.375,1
8,54,8,2,0.25,1
8,55,8,0,0.0,1
8,56,8,3,0.375,1
8,57,8,2,0.25,1
8,58,8,2,0.25,1
8,59,8,3,0.375,1
8,60,8,2,0.25,1
8,61,8,1,0.125,1
8,62,8,1,0.125,1
8,63,8,1,0.125,1
8,64,8,1,0.125,1
8,65,8,3,0.375,1
8,66,8,0,0.0,1
8,67,8,2,0.25,1
8,68,8,2,0.25,1
8,69,8,3,0.375,1
8,70,8,2,0.25,1
8,71,8,2,0.25,1
8,72,8,0,0.0,1
8,73,8,2,0.25,1
8,74,8,3,0.375,1
8,75,8,2,0.25,1
8,76,8,4,0.5,1
8,77,8,1,0.125,1
8,78,8,2,0.25,1
8,79,8,3,0.375,1
8,80,8,2,0.25,1
8,81,8,0,0.0,1
8,82,8,3,0.375,1
8,83,8,5,0.625,1
8,84,8,1,0.125,1
8,85,8,2,0.25,1
8,86,8,5,0.625,1
8,87,8,1,0.125,1
8,88,8,2,0.25,1
8,89,8,2,0.25,1
8,90,8,1,0.125,1
8,91,8,1,0.125,1
8,92,8,5,0.625,1
